type,title,description,era,color,layout,theme,display_mode,media_type,year,image_url,in_rooms,in_galleries,in_vitrines
room,"Drachenfels & Burgruine","Der Drachenfels ist mit 321 Metern das Wahrzeichen des Siebengebirges. Die Burgruine aus dem 12. Jahrhundert wurde vom Kölner Erzbischof Friedrich I. erbaut und diente als Wegezoll-Station am Rhein. Dichter wie Byron und Goethe besangen den Felsen.",mittelalter,#4A2C0A,,,,,,,,,
room,"Schloss Drachenburg","Das neogotische Schloss Drachenburg wurde 1882–1884 im Auftrag des Börsenmaklers Stephan von Sarter errichtet. Es gilt als Meisterwerk des Historismus am Mittelrhein und beherbergt heute ein Museum mit prunkvollen Innenräumen und einem englischen Landschaftsgarten.",historismus,#2E4057,,,,,,,,,
room,"Kloster Heisterbach","Das Zisterzienserkloster Heisterbach wurde 1202 gegründet und war eines der bedeutendsten Klöster am Rhein. Die eindrucksvolle gotische Chorruine ist heute das Wahrzeichen des Heisterbacher Tales. Die Legende vom schlafenden Mönch machte das Kloster weit über die Region bekannt.",mittelalter,#5D4037,,,,,,,,,
room,"Rhein & Königswinter am Wasser","Der Rhein prägte die Geschichte Königswinters maßgeblich. Als wichtige Handels- und Schifffahrtsroute verbindet er die Region mit Europa. Von der Uferpromenade blickt man auf das Panorama des Siebengebirges.",neuzeit,#1565C0,,,,,,,,,
room,"Stadtgeschichte Königswinter","Königswinter wurde 1927 zur Stadt erhoben und vereint zahlreiche historisch gewachsene Stadtteile: Rhöndorf – Heimat des ersten Bundeskanzlers Konrad Adenauer – Oberdollendorf mit seinen römischen Funden und Niederdollendorf mit der ältesten Weinbergslage der Region.",neuzeit,#6D4C41,,,,,,,,,
room,"Natur & Geologie Siebengebirge","Das Siebengebirge ist ein Mittelgebirge vulkanischen Ursprungs mit über 40 Erhebungen. Als eines der ältesten Naturschutzgebiete Deutschlands beherbergt es seltene Tier- und Pflanzenarten sowie den weltweit bekannten Drachenfels-Trachyt.",geologie,#33691E,,,,,,,,,
room,"Sagen & Legenden","Das Siebengebirge ist reich an Mythen und Sagen. Von Siegfried und dem Drachen bis zur Rolandssage – die Region inspirierte Dichter und Maler. Die Nibelungenhalle von 1913 widmet sich Wagners Ring-Zyklus mit monumentalen Wandgemälden.",mittelalter,#6A1B9A,,,,,,,,,
vitrine,"Burgruine & Aufstieg","Die Burgruine Drachenfels stammt aus dem 12. Jahrhundert. Besucher können über den historischen Eselspfad oder mit der Zahnradbahn den Gipfel erreichen. Vom Burgfried bietet sich ein Panoramablick über das Rheintal und die Eifel.",,,,showcase,dark,,,,,"Drachenfels & Burgruine",,
vitrine,"Drachenfelsbahn","Die Drachenfelsbahn ist die älteste Zahnradbahn Deutschlands in ununterbrochener Betriebsfolge. Seit 1883 überwindet sie auf 1,5 km einen Höhenunterschied von 180 Metern und ist touristisches Wahrzeichen der Region.",,,,shelf,wood,,,,,"Drachenfels & Burgruine",,
vitrine,"Prunkräume & Kunstschätze","Die Innenräume des Schlosses Drachenburg sind mit historistischen Deckenfresken nach mythologischen Themen und aufwendigem Mobiliar im Stil des 19. Jahrhunderts ausgestattet.",,,,grid,glass,,,,,"Schloss Drachenburg",,
vitrine,"Geschichte des Schlossbaus","Stephan von Sarter ließ das Schloss in nur zwei Jahren erbauen. Das Schloss wechselte viermal den Besitzer und verfiel nach dem Zweiten Weltkrieg. Erst 1986 begann die aufwendige Restaurierung.",,,,showcase,light,,,,,"Schloss Drachenburg",,
vitrine,"Chorruine Heisterbach","Die gotische Chorruine des Klosters Heisterbach gilt als Hauptwerk der hochgotischen Architektur am Rhein. Die Mönche bauten ab 1202 über mehrere Jahrzehnte an der gewaltigen Klosterkirche.",,,,showcase,glass,,,,,"Kloster Heisterbach",,
vitrine,"Mönchsleben & Klosteralltag","Die Zisterzienser führten in Heisterbach ein Leben nach der strengen Regel des Bernhard von Clairvaux. Das Kloster war Zentrum der Geistigkeit und Wirtschaft und besaß umfangreiche Ländereien.",,,,shelf,wood,,,,,"Kloster Heisterbach",,
vitrine,"Rheinschifffahrt durch die Jahrhunderte","Der Rhein war die wichtigste Handelsroute zwischen Köln und dem Süden. Königswinter profitierte vom Schiffsverkehr und war beliebter Anleger für Ausflugsschiffe.",,,,showcase,light,,,,,"Rhein & Königswinter am Wasser",,
vitrine,"Rheinfähre & Flussleben","Die Fähre zwischen Königswinter und Remagen verbindet die Rheinseiten seit Jahrhunderten. Fischerboote und Fähren prägten den Alltag der Rheinanwohner bis weit ins 20. Jahrhundert.",,,,grid,light,,,,,"Rhein & Königswinter am Wasser",,
vitrine,"Altstadt & Marktplatz Königswinter","Die Altstadt mit dem historischen Rathaus und dem Marktplatz ist Zeugnis der städtischen Entwicklung. Historische Gasthäuser erinnern an die goldene Zeit des Rheinromantikers.",,,,showcase,wood,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Rhöndorf & Konrad Adenauer","Rhöndorf ist Geburtsort und letzte Ruhestätte von Konrad Adenauer. Sein Wohnhaus Am Zinsenberg ist heute Museum und Gedenkstätte. Der Rosengarten und der Blick auf das Siebengebirge sind unverändert.",,,,showcase,light,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Oberdollendorf & Niederdollendorf","Römische Funde belegen eine über 2000-jährige Siedlungsgeschichte in den Dollendorf-Ortschaften. Die älteste Weinbergslage der Region liegt an den Hängen zwischen Drachenfels und Rhein.",,,,grid,light,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Drachenfelser Trachyt – Baustein der Geschichte","Der Drachenfelser Trachyt ist ein vulkanisches Gestein aus dem Tertiär. Er wurde seit dem Mittelalter als begehrter Baustein verwendet – für den Kölner Dom und viele Burgen am Rhein. Der Abbau endete 1770.",,,,grid,glass,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Gipfelwelt Siebengebirge","Das Siebengebirge hat über 40 Gipfel. Der Große Ölberg (461 m) ist die höchste Erhebung. Petersberg mit seinem Gästehaus der Bundesregierung und Wolkenburg sind weitere bekannte Gipfel.",,,,showcase,light,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Naturschutz & Waldleben","Das 1958 ausgewiesene Naturschutzgebiet Siebengebirge ist eines der ältesten Deutschlands. Alte Laubwälder mit Orchideenwiesen und Fledermauskolonien sind unter strengem Schutz.",,,,grid,light,,,,,"Natur & Geologie Siebengebirge",,
