type,title,description,era,color,layout,theme,display_mode,media_type,year,image_url,in_rooms,in_galleries,in_vitrines
room,"Drachenfels & Burgruine","Der Drachenfels (321 m) ist das Wahrzeichen des Siebengebirges. Die Burgruine aus dem 12. Jahrhundert thront über dem Rhein und war Inspiration für Dichter wie Byron und Goethe. Heute besuchen jährlich über eine Million Menschen den Felsen.",mittelalter,#4A2C0A,,,,,,,,,
room,"Schloss Drachenburg","Das neogotische Schloss Drachenburg (1882–1884) gilt als Meisterwerk des Historismus am Rhein. Börsenmakler Stephan von Sarter ließ es in nur zwei Jahren errichten – heute Museum mit prunkvollen Innenräumen und englischem Landschaftsgarten.",historismus,#2E4057,,,,,,,,,
room,"Kloster Heisterbach & Siebengebirge","Das Zisterzienserkloster Heisterbach (1202 gegründet) war eines der bedeutendsten Klöster am Rhein. Die gotische Chorruine im Heisterbacher Tal zählt zu den eindrucksvollsten Zeugnissen mittelalterlicher Architektur in der Region.",mittelalter,#5D4037,,,,,,,,,
room,"Rhein & Königswinter","Der Rhein als Lebensader der Region: Schifffahrt, Fähren, Fischerei und Überflutungen prägten Königswinter seit Jahrhunderten. Von der Promenade blickt man auf das Siebengebirge-Panorama.",neuzeit,#1565C0,,,,,,,,,
room,"Stadtgeschichte Königswinter","Königswinter und seine Stadtteile Rhöndorf, Oberdollendorf und Niederdollendorf vereinen antike Römerstraßen, mittelalterliche Weinbaukultur und die Epoche des ersten deutschen Bundeskanzlers Konrad Adenauer.",neuzeit,#6D4C41,,,,,,,,,
room,"Natur & Geologie Siebengebirge","Das Siebengebirge – ein erloschenes Vulkangebiet aus dem Tertiär – beherbergt über 40 Gipfel, seltene Flora und Fauna sowie den weltberühmten Drachenfels-Trachyt. Als eines der ältesten Naturschutzgebiete Deutschlands steht es seit 1923 unter Schutz.",geologie,#33691E,,,,,,,,,
room,"Sagen & Legenden des Siebengebirges","Das Siebengebirge ist reich an Mythen: Von Siegfrieds Drachenkampf bis zur Rolandssage. Richard Wagner ließ sich für seinen Nibelungen-Ring inspirieren. Die Nibelungenhalle von 1913 bewahrt diese Tradition.",mittelalter,#6A1B9A,,,,,,,,,
room,"Beethoven & das Musikalische Bonn","Ludwig van Beethoven wurde am 17. Dezember 1770 in Bonn geboren. Sein Geburtshaus am Bonngässchen zählt zu den meistbesuchten Gedenkstätten Deutschlands. Bonns Musikkultur reicht weit über Beethoven hinaus.",neuzeit,#B71C1C,,,,,,,,,
room,"Bonn – Bundeshauptstadt am Rhein","Von 1949 bis 1991 war Bonn Bundeshauptstadt der Bundesrepublik Deutschland. Das Bundeshaus, das Kanzlerbungalow und das Diplomatenviertel prägten die politische Nachkriegsgeschichte. Heute ist Bonn UN-Stadt mit 19 UN-Organisationen.",neuzeit,#1A237E,,,,,,,,,
room,"Bonn Altstadt & Universität","Die Bonner Altstadt mit dem Alten Rathaus, dem Münster und dem Marktplatz ist das historische Herz der Stadt. Die 1818 gegründete Rheinische Friedrich-Wilhelms-Universität zählt zu den renommiertesten deutschen Hochschulen.",neuzeit,#4E342E,,,,,,,,,
room,"Kölner Dom & Gotik","Der Kölner Dom ist eines der bedeutendsten gotischen Bauwerke der Welt. Seit 1248 im Bau, 1880 vollendet, steht er als UNESCO-Weltkulturerbe am Rheinufer. Über sechs Millionen Besucher kommen jährlich.",mittelalter,#263238,,,,,,,,,
room,"Köln – Römer & Antike","Köln, das römische Colonia Claudia Ara Agrippinensium (CCAA), war eine der bedeutendsten Städte nördlich der Alpen. Das Romano-Germanische Museum bewahrt das Erbe der über 400-jährigen Römerherrschaft.",antike,#4A148C,,,,,,,,,
room,"Kölner Brücken & Rheinleben","Über den Kölner Rhein führen zwölf Brücken. Die Hohenzollernbrücke mit ihren Liebesschlössern ist das meistüberquerte Eisenbahnbrücke Deutschlands. Das Rheinufer prägt das Stadtbild und das Leben der Kölner.",neuzeit,#006064,,,,,,,,,
room,"Kölner Stadtkultur & Karneval","Der Kölner Karneval – »Fastelovend« – ist das größte Straßenfest Deutschlands. Die Kölner Braukultur mit dem typischen Kölsch und die weltbekannten Museen machen Köln zu einem einzigartigen Kulturzentrum.",neuzeit,#E65100,,,,,,,,,
room,"Bad Godesberg & Voreifel","Bad Godesberg, der vornehme Bonner Süden, war Diplomatenstadtteil und Kurort. Die Godesburg – einst Kurfürstliche Residenz – thront über dem Rhein. Die Voreifel mit dem Siebengebirge bildet eine einzigartige Kulturlandschaft.",neuzeit,#37474F,,,,,,,,,
vitrine,"Burgruine & Aufstieg","Die Burgruine Drachenfels aus dem 12. Jahrhundert wurde vom Kölner Erzbischof Friedrich I. erbaut. Besucher gelangen über den historischen Eselspfad oder mit der Zahnradbahn auf den Gipfel.",,,,showcase,dark,,,,,"Drachenfels & Burgruine",,
vitrine,"Drachenfelsbahn & Tourismus","Die Drachenfelsbahn (1883) ist die älteste Zahnradbahn Deutschlands in ununterbrochener Betriebsfolge. Sie befördert jährlich über 400.000 Fahrgäste und ist Symbol des Siebengebirge-Tourismus.",,,,shelf,wood,,,,,"Drachenfels & Burgruine",,
vitrine,"Drachenfels in Kunst & Literatur","Lord Byron, Heinrich Heine und Karl Simrock besangen den Drachenfels. Caspar David Friedrich malte ihn. Der romantische Felsen wurde zur Ikone der Rheinromantik und des frühen Tourismus.",,,,showcase,glass,,,,,"Drachenfels & Burgruine",,
vitrine,"Prunkräume Drachenburg","Die Innenräume zeigen historistische Deckenfresken zu mythologischen Themen, kostbares Mobiliar und eine bedeutende Kunstsammlung des 19. Jahrhunderts.",,,,grid,glass,,,,,"Schloss Drachenburg",,
vitrine,"Geschichte des Schlossbaus","Stephan von Sarter, Börsenmakler aus Paris, ließ das Schloss 1882 beginnen. Nach mehreren Besitzerwechseln und dem Verfall restauriert das Land NRW seit 1986 das Baudenkmal.",,,,showcase,light,,,,,"Schloss Drachenburg",,
vitrine,"Schlosspark & Terrassen","Der englische Landschaftspark mit Terrassen, Springbrunnen und Rheinblick gehört zu den schönsten Schlossgärten am Mittelrhein.",,,,shelf,light,,,,,"Schloss Drachenburg",,
vitrine,"Chorruine Heisterbach","Die gotische Chorruine von 1210 ist das Hauptzeugnis der zisterziensischen Hochgotik am Rhein. Nur der Chor blieb nach dem Abbruch 1803 erhalten.",,,,showcase,glass,,,,,"Kloster Heisterbach & Siebengebirge",,
vitrine,"Klosterleben & Mönche","Die Zisterzienser führten ein striktes Leben nach der Regel des Bernhard von Clairvaux. Kloster Heisterbach war Zentrum der Geistigkeit und bedeutender Wirtschaftsfaktor der Region.",,,,shelf,wood,,,,,"Kloster Heisterbach & Siebengebirge",,
vitrine,"Heisterbacher Tal Natur","Das Heisterbacher Tal ist Teil des Naturschutzgebiets Siebengebirge. Alte Buchenwälder, Quellen und seltene Orchideenarten machen das Tal zu einem ökologischen Kleinod.",,,,grid,light,,,,,"Kloster Heisterbach & Siebengebirge",,
vitrine,"Rheinschifffahrt & Handel","Der Rhein als Handelsroute zwischen Köln und dem Süden. Königswinter war wichtiger Anlegeort für Dampfschiffe und Ausflugsboote seit dem 19. Jahrhundert.",,,,showcase,light,,,,,"Rhein & Königswinter",,
vitrine,"Rheinfähre & Flussleben","Die Rheinfähre zwischen Königswinter und Remagen verbindet die Rheinseiten. Fischerei, Fährbetrieb und Flussarbeit prägten das Alltagsleben am Rhein über Jahrhunderte.",,,,shelf,wood,,,,,"Rhein & Königswinter",,
vitrine,"Rheinromantik & Tourismus","Die Rheinromantik des 19. Jahrhunderts machte Königswinter zum Ziel der ersten Massentouristen. Dampfschiffe brachten Reisende aus ganz Europa an den Fuß des Drachenfels.",,,,showcase,glass,,,,,"Rhein & Königswinter",,
vitrine,"Altstadt Königswinter & Marktplatz","Das historische Rathaus und der Marktplatz sind Zeugnis der Stadterhebung von 1927. Historische Gasthäuser und Bürgerhäuser prägen das Ortsbild der Altstadt.",,,,showcase,wood,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Rhöndorf & Konrad Adenauer","Rhöndorf ist Geburtsort, Wohnstätte und Grabstätte des ersten deutschen Bundeskanzlers. Das Adenauer-Haus am Zinsenberg ist heute Gedenkstätte und Museum.",,,,showcase,light,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Weinbaukultur am Drachenfels","Die Steilweinberge am Drachenfels sind die nördlichsten Rotweinlagen Deutschlands. Spätburgunder aus Rhöndorf und Oberdollendorf hat eine über 1000-jährige Tradition.",,,,grid,wood,,,,,"Stadtgeschichte Königswinter",,
vitrine,"Drachenfelser Trachyt – Baustein Europas","Der olivgrüne Drachenfels-Trachyt wurde seit dem 9. Jahrhundert abgebaut und für den Kölner Dom, Burgen und Kathedralen verwendet. 1770 endete der Abbau zum Schutz des Felsens.",,,,grid,glass,,,,,"Natur & Geologie Siebengebirge",,
